,Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not,1=defaulted
141,1,existing loans paid back duly till now,Purchase of furniture/equipment,3149,none,less than a year,male and single,1,22,less than 0,less than 100,4,bank,Yes,No,24,No property,skilled employee / official,for free,1,1,
142,1,existing loans paid back duly till now,Purchase of radio/television,753,gaurantor,between 1 and 4 years,female and divorced/seperated/married,1,64,between 0 and 200,less than 100,2,none,Yes,No,6,Real Estate,skilled employee / official,own,3,1,
143,1,existing loans paid back duly till now,Old Car Repair,2679,none,less than a year,female and divorced/seperated/married,1,29,no current account,less than 100,4,none,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,own,1,1,
144,2,critical account/other loans existing (not at this bank),New Car Purchase,3905,none,between 1 and 4 years,male and single,2,36,less than 0,less than 100,2,none,Yes,No,11,Real Estate,skilled employee / official,rent,2,1,
145,1,delay in paying off loans in the past,Purchase of furniture/equipment,960,none,greater than 4 years,female and divorced/seperated/married,2,30,no current account,greater than 1000,3,none,Yes,No,15,building society savings agreement/life insurance,skilled employee / official,own,2,1,
146,2,delay in paying off loans in the past,Old Car Repair,8947,none,greater than 4 years,male and single,1,31,no current account,no savings account,3,stores,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
147,1,delay in paying off loans in the past,Loan for business establishment,4272,none,between 1 and 4 years,male and single,2,26,no current account,between 100 and 500,2,none,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,own,2,1,
148,1,existing loans paid back duly till now,Purchase of radio/television,1936,none,greater than 4 years,male and married/widowed,2,23,less than 0,no savings account,2,none,Yes,No,18,car or other property,unskilled - resident,rent,4,1,
149,1,critical account/other loans existing (not at this bank),New Car Purchase,1530,none,between 1 and 4 years,male and single,2,32,no current account,less than 100,3,bank,Yes,No,18,building society savings agreement/life insurance,skilled employee / official,own,2,2,
150,1,existing loans paid back duly till now,New Car Purchase,915,none,,female and divorced/seperated/married,1,29,less than 0,no savings account,4,bank,Yes,No,24,car or other property,skilled employee / official,own,2,2,
151,1,existing loans paid back duly till now,Purchase of radio/television,1967,none,,female and divorced/seperated/married,1,20,between 0 and 200,less than 100,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,4,1,
152,2,existing loans paid back duly till now,Old Car Repair,2924,gaurantor,between 1 and 4 years,male and single,1,63,less than 0,less than 100,3,bank,Yes,Yes,24,No property,skilled employee / official,own,4,1,
153,2,existing loans paid back duly till now,Old Car Repair,6313,none,,male and single,1,41,no current account,no savings account,3,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,1,
154,1,critical account/other loans existing (not at this bank),New Car Purchase,362,none,between 1 and 4 years,female and divorced/seperated/married,2,52,no current account,between 100 and 500,4,none,Yes,No,6,car or other property,unskilled - resident,own,4,1,
155,1,existing loans paid back duly till now,Purchase of furniture/equipment,3001,none,greater than 4 years,female and divorced/seperated/married,1,40,between 0 and 200,less than 100,2,none,Yes,No,18,Real Estate,skilled employee / official,rent,4,1,
156,1,existing loans paid back duly till now,Old Car Repair,1352,none,unemployed,female and divorced/seperated/married,1,23,less than 0,between 500 and 1000,1,none,Yes,Yes,6,building society savings agreement/life insurance,unemployed/ unskilled - non-resident,rent,2,1,
157,1,existing loans paid back duly till now,Purchase of radio/television,1453,none,less than a year,female and divorced/seperated/married,1,26,no current account,less than 100,3,none,Yes,No,18,Real Estate,skilled employee / official,own,1,1,
158,1,existing loans paid back duly till now,Purchase of furniture/equipment,652,none,,female and divorced/seperated/married,1,24,less than 0,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
159,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,3343,none,between 1 and 4 years,male and single,1,28,no current account,less than 100,4,none,Yes,Yes,15,No property,skilled employee / official,for free,2,1,
160,1,critical account/other loans existing (not at this bank),Other repairs,996,none,greater than 4 years,female and divorced/seperated/married,2,23,no current account,no savings account,4,none,Yes,No,12,Real Estate,skilled employee / official,own,4,1,
161,1,existing loans paid back duly till now,New Car Purchase,1216,none,less than a year,female and divorced/seperated/married,1,23,less than 0,less than 100,4,none,Yes,Yes,18,car or other property,skilled employee / official,rent,3,2,
162,1,existing loans paid back duly till now,Purchase of radio/television,1534,none,less than a year,male and married/widowed,1,23,between 0 and 200,less than 100,1,none,Yes,No,12,Real Estate,skilled employee / official,rent,1,2,
163,2,critical account/other loans existing (not at this bank),New Car Purchase,1361,none,less than a year,male and single,1,40,less than 0,less than 100,2,none,No,No,6,Real Estate,unskilled - resident,own,4,1,
164,1,existing loans paid back duly till now,Other repairs,2384,none,less than a year,male and single,1,33,between 0 and 200,less than 100,4,none,Yes,No,36,No property,unskilled - resident,rent,1,2,
165,1,existing loans paid back duly till now,New Car Purchase,7763,none,,male and single,1,42,less than 0,less than 100,4,bank,Yes,No,48,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2,
166,1,critical account/other loans existing (not at this bank),Old Car Repair,7253,none,greater than 4 years,male and single,2,35,no current account,less than 100,3,none,Yes,Yes,33,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
167,1,existing loans paid back duly till now,Loan for business establishment,4844,none,unemployed,male and single,1,33,no current account,less than 100,3,bank,Yes,Yes,48,car or other property,management/ self-employed/highly qualified employee/ officer,rent,2,2,
168,2,delay in paying off loans in the past,Loan for business establishment,9857,none,greater than 4 years,male and single,2,31,between 0 and 200,between 100 and 500,1,none,Yes,Yes,36,building society savings agreement/life insurance,unskilled - resident,own,3,1,
169,2,critical account/other loans existing (not at this bank),,11938,co-applicant,between 1 and 4 years,male and single,2,39,between 0 and 200,less than 100,2,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2,
170,1,critical account/other loans existing (not at this bank),Purchase of radio/television,2223,none,,male and single,2,52,no current account,between 100 and 500,4,bank,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,4,1,
171,2,existing loans paid back duly till now,New Car Purchase,3651,none,between 1 and 4 years,male and single,1,31,less than 0,greater than 1000,1,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,1,
172,1,existing loans paid back duly till now,Loan for business establishment,15672,none,between 1 and 4 years,male and single,1,23,between 0 and 200,less than 100,2,none,Yes,Yes,48,car or other property,skilled employee / official,own,2,2,
173,1,critical account/other loans existing (not at this bank),Purchase of radio/television,4530,none,greater than 4 years,female and divorced/seperated/married,1,26,no current account,less than 100,4,none,Yes,Yes,30,car or other property,management/ self-employed/highly qualified employee/ officer,rent,4,1,
174,2,existing loans paid back duly till now,New Car Purchase,888,none,,male and single,1,41,between 0 and 200,less than 100,4,bank,Yes,No,12,car or other property,unskilled - resident,own,4,2,
175,2,existing loans paid back duly till now,Purchase of radio/television,1493,none,less than a year,female and divorced/seperated/married,1,34,no current account,less than 100,4,none,Yes,No,12,car or other property,skilled employee / official,own,3,1,
176,1,all loans at this bank paid back duly,Purchase of radio/television,409,none,between 1 and 4 years,female and divorced/seperated/married,2,42,greater than 200,greater than 1000,3,none,Yes,No,12,Real Estate,skilled employee / official,rent,3,1,
177,2,critical account/other loans existing (not at this bank),Loan for business establishment,2825,none,greater than 4 years,male and single,2,34,between 0 and 200,no savings account,4,none,Yes,Yes,24,No property,skilled employee / official,own,3,1,
178,1,existing loans paid back duly till now,Education Loan,6288,none,between 1 and 4 years,male and single,1,42,between 0 and 200,less than 100,4,none,Yes,No,60,No property,skilled employee / official,for free,4,2,
179,1,existing loans paid back duly till now,Purchase of radio/television,1979,none,,male and single,1,35,no current account,no savings account,4,none,Yes,No,15,car or other property,skilled employee / official,own,2,1,
180,1,existing loans paid back duly till now,New Car Purchase,1474,none,less than a year,male and married/widowed,1,33,no current account,between 100 and 500,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,3,1,
181,1,existing loans paid back duly till now,Education Loan,4623,none,between 1 and 4 years,male and single,1,40,no current account,between 100 and 500,3,none,Yes,Yes,15,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,2,2,
182,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1258,none,less than a year,female and divorced/seperated/married,2,22,no current account,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,rent,4,1,
183,1,critical account/other loans existing (not at this bank),Old Car Repair,6615,none,unemployed,male and single,2,75,less than 0,less than 100,2,none,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
184,1,existing loans paid back duly till now,New Car Purchase,1721,none,less than a year,male and single,1,36,less than 0,less than 100,2,none,Yes,No,15,Real Estate,skilled employee / official,own,3,1,
185,1,no loans taken/all loans paid back duly,Purchase of radio/television,3804,none,between 1 and 4 years,female and divorced/seperated/married,1,42,between 0 and 200,less than 100,4,none,Yes,Yes,36,car or other property,skilled employee / official,own,1,2,
186,1,existing loans paid back duly till now,New Car Purchase,2859,none,unemployed,male and single,1,38,no current account,no savings account,4,none,Yes,Yes,12,No property,management/ self-employed/highly qualified employee/ officer,own,4,1,
187,1,existing loans paid back duly till now,Purchase of furniture/equipment,1131,none,unemployed,female and divorced/seperated/married,1,33,less than 0,less than 100,4,none,Yes,No,18,car or other property,skilled employee / official,own,2,2,
188,1,existing loans paid back duly till now,Purchase of furniture/equipment,1275,none,less than a year,female and divorced/seperated/married,1,23,greater than 200,less than 100,4,none,Yes,No,10,building society savings agreement/life insurance,skilled employee / official,own,2,1,
189,1,critical account/other loans existing (not at this bank),New Car Purchase,1175,none,unemployed,male and single,3,68,between 0 and 200,less than 100,2,none,Yes,Yes,16,car or other property,unemployed/ unskilled - non-resident,for free,3,1,
190,1,existing loans paid back duly till now,Loan for business establishment,5742,none,greater than 4 years,male and single,2,31,no current account,between 100 and 500,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,2,1,
191,2,critical account/other loans existing (not at this bank),Old Car Repair,5842,none,,male and single,2,35,no current account,less than 100,2,none,Yes,Yes,36,building society savings agreement/life insurance,skilled employee / official,own,2,1,
192,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1240,none,,female and divorced/seperated/married,2,38,no current account,no savings account,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,2,1,
193,1,no loans taken/all loans paid back duly,Loan for business establishment,4221,none,between 1 and 4 years,female and divorced/seperated/married,2,28,between 0 and 200,less than 100,2,none,Yes,No,30,car or other property,skilled employee / official,own,1,1,
194,1,all loans at this bank paid back duly,Purchase of radio/television,1048,none,between 1 and 4 years,male and single,1,23,between 0 and 200,less than 100,4,stores,Yes,No,10,Real Estate,unskilled - resident,own,4,1,
195,1,existing loans paid back duly till now,Purchase of radio/television,1126,none,less than a year,female and divorced/seperated/married,1,21,no current account,no savings account,4,none,Yes,Yes,18,Real Estate,skilled employee / official,rent,2,1,
196,1,critical account/other loans existing (not at this bank),Education Loan,936,none,,male and single,2,52,no current account,between 500 and 1000,4,none,Yes,Yes,9,car or other property,skilled employee / official,own,2,1,
197,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1795,gaurantor,,female and divorced/seperated/married,2,48,between 0 and 200,less than 100,3,bank,Yes,Yes,18,Real Estate,unskilled - resident,rent,4,1,
198,1,existing loans paid back duly till now,Loan for business establishment,4308,none,less than a year,female and divorced/seperated/married,1,24,less than 0,less than 100,3,none,Yes,No,48,building society savings agreement/life insurance,skilled employee / official,rent,4,2,
199,2,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,4526,none,less than a year,male and single,2,32,no current account,greater than 1000,4,stores,Yes,Yes,27,Real Estate,unskilled - resident,own,2,1,
200,1,critical account/other loans existing (not at this bank),Loan for business establishment,1797,none,less than a year,male and single,2,28,less than 0,less than 100,3,bank,Yes,No,13,building society savings agreement/life insurance,unskilled - resident,own,1,1,
201,1,existing loans paid back duly till now,Education Loan,3832,none,,male and single,1,64,no current account,no savings account,1,none,Yes,No,9,Real Estate,unskilled - resident,own,4,1,
202,1,existing loans paid back duly till now,Purchase of furniture/equipment,959,none,between 1 and 4 years,female and divorced/seperated/married,1,29,between 0 and 200,less than 100,1,none,No,No,9,car or other property,skilled employee / official,own,2,2,
203,1,no loans taken/all loans paid back duly,Loan for business establishment,4241,none,between 1 and 4 years,male and single,3,36,between 0 and 200,less than 100,1,none,Yes,Yes,24,Real Estate,unskilled - resident,own,4,2,
204,2,critical account/other loans existing (not at this bank),Old Car Repair,2751,none,,male and single,2,38,no current account,no savings account,4,none,Yes,Yes,48,car or other property,skilled employee / official,own,3,1,
205,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1154,none,unemployed,female and divorced/seperated/married,3,57,no current account,between 100 and 500,4,none,Yes,No,11,Real Estate,unskilled - resident,own,4,1,
206,2,critical account/other loans existing (not at this bank),Education Loan,1597,none,,male and single,2,54,no current account,less than 100,4,none,Yes,No,24,No property,skilled employee / official,for free,4,1,
207,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1221,none,between 1 and 4 years,male and married/widowed,2,27,no current account,no savings account,1,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,2,1,
208,2,existing loans paid back duly till now,Purchase of radio/television,3979,none,greater than 4 years,male and single,2,41,between 0 and 200,no savings account,4,none,Yes,Yes,48,car or other property,skilled employee / official,own,1,1,
209,1,existing loans paid back duly till now,Purchase of furniture/equipment,1620,co-applicant,between 1 and 4 years,female and divorced/seperated/married,1,30,less than 0,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,1,
210,2,existing loans paid back duly till now,Old Car Repair,2964,none,,male and single,1,49,less than 0,no savings account,4,bank,Yes,Yes,24,No property,skilled employee / official,for free,4,1,
211,1,existing loans paid back duly till now,Purchase of radio/television,3509,gaurantor,greater than 4 years,female and divorced/seperated/married,1,25,less than 0,less than 100,4,none,Yes,No,18,Real Estate,skilled employee / official,own,1,1,
212,1,existing loans paid back duly till now,New Car Purchase,2631,none,between 1 and 4 years,female and divorced/seperated/married,2,28,between 0 and 200,between 100 and 500,2,none,Yes,Yes,15,car or other property,skilled employee / official,rent,4,2,
213,1,delay in paying off loans in the past,New Car Purchase,2225,none,,male and single,2,57,between 0 and 200,less than 100,4,bank,Yes,Yes,36,No property,skilled employee / official,for free,4,2,
214,1,existing loans paid back duly till now,Loan for business establishment,806,none,between 1 and 4 years,female and divorced/seperated/married,1,22,less than 0,less than 100,4,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,4,1,
215,1,existing loans paid back duly till now,Purchase of radio/television,1881,none,between 1 and 4 years,female and divorced/seperated/married,1,44,greater than 200,less than 100,2,none,Yes,Yes,12,car or other property,unskilled - resident,rent,2,1,
216,1,critical account/other loans existing (not at this bank),Old Car Repair,1860,none,unemployed,male and single,2,34,between 0 and 200,less than 100,4,none,Yes,Yes,12,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
217,2,existing loans paid back duly till now,Purchase of radio/television,2118,none,between 1 and 4 years,male and single,1,37,between 0 and 200,less than 100,2,none,Yes,No,9,Real Estate,unskilled - resident,own,2,1,
218,1,all loans at this bank paid back duly,New Car Purchase,1264,none,between 1 and 4 years,male and married/widowed,1,25,between 0 and 200,between 100 and 500,2,none,Yes,No,15,building society savings agreement/life insurance,skilled employee / official,rent,2,2,
219,2,existing loans paid back duly till now,Old Car Repair,2848,co-applicant,between 1 and 4 years,male and single,1,32,no current account,between 100 and 500,1,none,Yes,No,10,Real Estate,skilled employee / official,own,2,1,
220,1,critical account/other loans existing (not at this bank),Education Loan,2319,none,less than a year,male and divorced/seperated,1,33,greater than 200,less than 100,2,none,Yes,No,21,car or other property,skilled employee / official,rent,1,2,
221,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,2745,none,greater than 4 years,male and single,2,32,between 0 and 200,greater than 1000,3,none,Yes,Yes,21,car or other property,skilled employee / official,own,2,1,
222,1,existing loans paid back duly till now,Old Car Repair,2901,none,less than a year,female and divorced/seperated/married,1,31,no current account,no savings account,1,none,Yes,No,10,Real Estate,skilled employee / official,rent,4,1,
223,1,all loans at this bank paid back duly,,1358,none,,male and single,1,40,less than 0,no savings account,4,stores,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2,
224,1,delay in paying off loans in the past,Old Car Repair,1503,none,between 1 and 4 years,male and married/widowed,1,41,no current account,less than 100,4,none,Yes,No,12,Real Estate,skilled employee / official,rent,4,1,
225,1,existing loans paid back duly till now,Purchase of radio/television,3092,none,less than a year,male and married/widowed,1,22,between 0 and 200,between 100 and 500,3,none,Yes,Yes,24,car or other property,skilled employee / official,rent,2,2,
226,1,existing loans paid back duly till now,New Car Purchase,1374,none,unemployed,female and divorced/seperated/married,1,75,less than 0,no savings account,4,none,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,3,1,
227,1,existing loans paid back duly till now,Education Loan,3711,none,between 1 and 4 years,male and married/widowed,1,27,between 0 and 200,no savings account,2,none,Yes,No,36,car or other property,skilled employee / official,own,2,1,
228,1,existing loans paid back duly till now,Purchase of radio/television,766,none,between 1 and 4 years,male and single,1,66,between 0 and 200,between 500 and 1000,4,none,Yes,No,12,Real Estate,unskilled - resident,own,3,2,
229,1,existing loans paid back duly till now,Purchase of furniture/equipment,3069,none,,male and single,1,30,between 0 and 200,between 100 and 500,4,none,Yes,No,24,No property,skilled employee / official,for free,4,1,
230,2,existing loans paid back duly till now,Purchase of radio/television,3430,none,,male and single,1,31,no current account,between 500 and 1000,3,none,Yes,Yes,24,car or other property,skilled employee / official,own,2,1,
231,1,existing loans paid back duly till now,Purchase of radio/television,1715,none,between 1 and 4 years,female and divorced/seperated/married,1,26,between 0 and 200,no savings account,4,none,Yes,No,30,car or other property,skilled employee / official,own,1,1,
232,1,delay in paying off loans in the past,Purchase of radio/television,1024,none,less than a year,male and married/widowed,1,48,less than 0,less than 100,4,stores,Yes,No,24,Real Estate,skilled employee / official,own,4,2,
233,2,all loans at this bank paid back duly,Loan for retraining,3447,none,between 1 and 4 years,female and divorced/seperated/married,1,35,no current account,between 500 and 1000,4,none,Yes,No,12,Real Estate,unskilled - resident,own,3,1,
234,1,existing loans paid back duly till now,Purchase of radio/television,1301,gaurantor,,male and married/widowed,1,32,between 0 and 200,less than 100,4,none,Yes,No,18,Real Estate,unskilled - resident,own,2,1,
235,1,critical account/other loans existing (not at this bank),Old Car Repair,11054,none,between 1 and 4 years,male and single,1,30,no current account,no savings account,4,none,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
236,1,existing loans paid back duly till now,Purchase of furniture/equipment,3972,none,greater than 4 years,female and divorced/seperated/married,1,25,no current account,less than 100,2,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
237,1,existing loans paid back duly till now,Purchase of domestic appliances,1275,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,no savings account,4,none,Yes,No,15,car or other property,skilled employee / official,rent,2,2,
238,1,existing loans paid back duly till now,Loan for business establishment,3448,none,greater than 4 years,male and single,1,74,no current account,less than 100,1,none,Yes,No,5,Real Estate,unskilled - resident,own,4,1,
239,1,existing loans paid back duly till now,Loan for business establishment,1568,none,between 1 and 4 years,female and divorced/seperated/married,1,24,no current account,between 100 and 500,3,none,Yes,No,18,building society savings agreement/life insurance,unskilled - resident,rent,4,1,
240,1,existing loans paid back duly till now,Purchase of furniture/equipment,1924,none,less than a year,female and divorced/seperated/married,1,27,between 0 and 200,no savings account,4,none,Yes,No,18,Real Estate,skilled employee / official,rent,3,2,
241,1,existing loans paid back duly till now,New Car Purchase,3123,none,less than a year,female and divorced/seperated/married,1,27,less than 0,less than 100,4,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,1,2,
242,1,existing loans paid back duly till now,Purchase of domestic appliances,874,none,less than a year,female and divorced/seperated/married,1,24,no current account,no savings account,4,none,Yes,No,15,Real Estate,skilled employee / official,own,1,1,
243,2,existing loans paid back duly till now,Loan for business establishment,1188,none,,female and divorced/seperated/married,1,39,between 0 and 200,less than 100,2,none,Yes,No,21,building society savings agreement/life insurance,skilled employee / official,own,4,2,
244,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,3331,none,,male and single,1,42,no current account,less than 100,2,stores,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,1,
245,1,critical account/other loans existing (not at this bank),Old Car Repair,3368,none,,male and single,2,23,no current account,greater than 1000,3,none,Yes,Yes,15,No property,skilled employee / official,rent,4,1,
246,1,critical account/other loans existing (not at this bank),Purchase of radio/television,2578,none,,male and single,1,34,no current account,greater than 1000,2,none,Yes,No,24,car or other property,skilled employee / official,own,2,1,
247,1,existing loans paid back duly till now,Old Car Repair,4675,none,less than a year,female and divorced/seperated/married,1,20,no current account,no savings account,1,none,Yes,No,12,car or other property,skilled employee / official,rent,4,1,
248,1,existing loans paid back duly till now,New Car Purchase,1274,none,less than a year,female and divorced/seperated/married,1,37,less than 0,less than 100,3,none,Yes,No,12,Real Estate,unskilled - resident,own,1,2,
249,1,existing loans paid back duly till now,Purchase of radio/television,3031,gaurantor,between 1 and 4 years,male and single,1,21,between 0 and 200,between 100 and 500,4,none,Yes,No,45,building society savings agreement/life insurance,skilled employee / official,rent,4,2,
250,1,critical account/other loans existing (not at this bank),New Car Purchase,1224,none,between 1 and 4 years,male and single,2,30,no current account,less than 100,3,none,Yes,No,9,Real Estate,skilled employee / official,own,1,1,
251,1,existing loans paid back duly till now,Purchase of radio/television,3913,none,between 1 and 4 years,male and single,1,23,greater than 200,less than 100,2,none,Yes,Yes,36,Real Estate,skilled employee / official,own,2,1,
252,1,existing loans paid back duly till now,Purchase of domestic appliances,1338,none,between 1 and 4 years,male and divorced/seperated,1,62,no current account,between 500 and 1000,1,none,Yes,No,6,Real Estate,skilled employee / official,own,4,1,
253,1,existing loans paid back duly till now,Purchase of furniture/equipment,3021,none,between 1 and 4 years,male and divorced/seperated,1,24,less than 0,less than 100,2,none,Yes,No,24,Real Estate,unskilled - resident,rent,2,1,
254,1,existing loans paid back duly till now,Other repairs,11998,none,less than a year,male and divorced/seperated,1,34,less than 0,less than 100,1,none,Yes,Yes,30,No property,unskilled - resident,own,1,2,
255,2,existing loans paid back duly till now,New Car Purchase,947,none,greater than 4 years,male and single,1,38,greater than 200,less than 100,4,bank,Yes,No,24,No property,skilled employee / official,for free,3,2,
256,1,existing loans paid back duly till now,Purchase of radio/television,4473,none,,male and single,1,31,greater than 200,less than 100,4,none,Yes,No,36,car or other property,skilled employee / official,own,2,1,
257,1,existing loans paid back duly till now,Purchase of furniture/equipment,2039,none,between 1 and 4 years,female and divorced/seperated/married,1,20,less than 0,less than 100,1,bank,Yes,No,18,Real Estate,skilled employee / official,rent,4,2,
258,1,existing loans paid back duly till now,Loan for business establishment,1913,none,less than a year,male and married/widowed,1,36,between 0 and 200,greater than 1000,3,bank,Yes,Yes,18,Real Estate,skilled employee / official,own,3,1,
259,1,existing loans paid back duly till now,Purchase of radio/television,2108,none,greater than 4 years,male and married/widowed,1,29,no current account,less than 100,2,none,Yes,No,6,Real Estate,skilled employee / official,rent,2,1,
260,1,existing loans paid back duly till now,New Car Purchase,6078,none,greater than 4 years,male and single,1,32,between 0 and 200,less than 100,2,none,Yes,No,12,car or other property,skilled employee / official,own,2,1,
261,1,critical account/other loans existing (not at this bank),Purchase of radio/television,2331,co-applicant,,male and single,1,49,no current account,no savings account,1,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1,
262,1,existing loans paid back duly till now,Purchase of furniture/equipment,3345,none,,male and single,1,39,less than 0,less than 100,4,none,Yes,Yes,24,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,2,2,
263,1,critical account/other loans existing (not at this bank),New Car Purchase,2463,none,greater than 4 years,male and married/widowed,2,27,no current account,between 100 and 500,4,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,3,1,
264,1,critical account/other loans existing (not at this bank),Loan for business establishment,1412,gaurantor,between 1 and 4 years,female and divorced/seperated/married,2,29,no current account,less than 100,4,none,Yes,Yes,12,Real Estate,management/ self-employed/highly qualified employee/ officer,own,2,1,
265,1,critical account/other loans existing (not at this bank),Purchase of radio/television,385,none,greater than 4 years,female and divorced/seperated/married,4,58,less than 0,less than 100,4,none,Yes,Yes,12,Real Estate,unskilled - resident,own,3,1,
266,1,existing loans paid back duly till now,Old Car Repair,2476,none,,male and single,1,46,no current account,no savings account,4,none,Yes,Yes,21,Real Estate,management/ self-employed/highly qualified employee/ officer,own,4,1,
267,1,existing loans paid back duly till now,Purchase of radio/television,2063,none,less than a year,male and married/widowed,1,30,between 0 and 200,less than 100,4,none,Yes,Yes,6,car or other property,management/ self-employed/highly qualified employee/ officer,rent,3,1,
268,1,existing loans paid back duly till now,New Car Purchase,672,none,unemployed,female and divorced/seperated/married,1,54,no current account,less than 100,1,none,Yes,Yes,6,Real Estate,unemployed/ unskilled - non-resident,own,4,1,
269,2,critical account/other loans existing (not at this bank),New Car Purchase,958,none,greater than 4 years,male and single,2,47,between 0 and 200,less than 100,2,none,Yes,No,12,Real Estate,unskilled - resident,own,3,1,
270,1,existing loans paid back duly till now,Loan for business establishment,1037,none,greater than 4 years,male and single,1,39,between 0 and 200,between 100 and 500,3,none,Yes,No,12,Real Estate,unskilled - resident,own,4,1,
271,1,critical account/other loans existing (not at this bank),New Car Purchase,3398,none,greater than 4 years,male and single,2,39,less than 0,less than 100,1,none,No,No,8,Real Estate,unskilled - resident,own,4,1,
272,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,3384,none,between 1 and 4 years,male and divorced/seperated,1,44,less than 0,less than 100,1,none,Yes,Yes,6,Real Estate,management/ self-employed/highly qualified employee/ officer,rent,4,2,
273,1,existing loans paid back duly till now,Purchase of radio/television,2100,co-applicant,between 1 and 4 years,male and single,1,37,greater than 200,less than 100,4,stores,Yes,No,18,Real Estate,skilled employee / official,own,2,2,
274,1,existing loans paid back duly till now,Purchase of radio/television,2394,none,between 1 and 4 years,female and divorced/seperated/married,1,25,no current account,no savings account,4,none,Yes,No,36,car or other property,skilled employee / official,own,4,1,
275,1,existing loans paid back duly till now,Purchase of radio/television,2389,none,less than a year,female and divorced/seperated/married,1,27,less than 0,less than 100,4,stores,Yes,No,18,car or other property,skilled employee / official,own,1,1,
276,1,existing loans paid back duly till now,Purchase of furniture/equipment,2577,none,between 1 and 4 years,male and divorced/seperated,1,42,less than 0,less than 100,2,none,Yes,No,12,car or other property,skilled employee / official,own,1,1,
277,1,existing loans paid back duly till now,Purchase of radio/television,518,none,between 1 and 4 years,female and divorced/seperated/married,1,29,no current account,less than 100,3,none,Yes,No,6,Real Estate,skilled employee / official,own,1,1,
278,1,existing loans paid back duly till now,Purchase of furniture/equipment,3622,none,,female and divorced/seperated/married,2,57,less than 0,greater than 1000,4,none,Yes,Yes,30,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
279,1,critical account/other loans existing (not at this bank),Education Loan,1501,none,,female and divorced/seperated/married,2,34,between 0 and 200,less than 100,2,none,Yes,Yes,9,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2,
280,1,critical account/other loans existing (not at this bank),Other repairs,2058,none,between 1 and 4 years,male and divorced/seperated,2,33,no current account,less than 100,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,2,1,
